seed,arm,update,first_shift_return,first_shift_kl,second_shift_return
101,value_only,0,0.10,0.000,0.08
101,value_only,1,0.31,0.071,0.10
101,value_only,2,0.53,0.132,0.13
101,value_only,3,0.70,0.176,0.16
101,value_only,4,0.80,0.201,0.18
101,search_assisted,0,0.10,0.000,0.08
101,search_assisted,1,0.30,0.073,0.20
101,search_assisted,2,0.54,0.129,0.36
101,search_assisted,3,0.71,0.181,0.57
101,search_assisted,4,0.81,0.198,0.79
202,value_only,0,0.09,0.000,0.07
202,value_only,1,0.29,0.068,0.09
202,value_only,2,0.52,0.130,0.11
202,value_only,3,0.69,0.174,0.14
202,value_only,4,0.79,0.197,0.17
202,search_assisted,0,0.09,0.000,0.07
202,search_assisted,1,0.30,0.070,0.18
202,search_assisted,2,0.51,0.134,0.34
202,search_assisted,3,0.70,0.171,0.54
202,search_assisted,4,0.80,0.202,0.75
303,value_only,0,0.11,0.000,0.09
303,value_only,1,0.32,0.074,0.11
303,value_only,2,0.55,0.135,0.14
303,value_only,3,0.72,0.179,0.16
303,value_only,4,0.82,0.204,0.19
303,search_assisted,0,0.11,0.000,0.09
303,search_assisted,1,0.31,0.076,0.22
303,search_assisted,2,0.54,0.132,0.39
303,search_assisted,3,0.73,0.183,0.60
303,search_assisted,4,0.81,0.201,0.82
